REF_DATE,GEO,DGUID,Fuel type,Vehicle type,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,888,,,,0
2021-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1759,,,,0
2021-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2644,,,,0
2021-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,2480,,,,0
2021-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1352,,,,0
2022-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1024,,,,0
2022-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1675,,,,0
2022-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1394,,,,0
2022-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1384,,,,0
2023-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1275,,,,0
2023-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1880,,,,0
2023-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1698,,,,0
2023-10,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1685,,,,0
2024-01,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1358,,,,0
2024-04,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1985,,,,0
2024-07,Prince Edward Island,2021A000211,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671248472,381.4.1.1,1900,,,,0
